id,glottocode,name,source,latitude,longitude,elevation,macroarea
2897,wikn1245,Wik-Ngathan,er,"-13,8691",141532,1,Australia
2899,wikn1246,Kugu Nganhcara,er,"-13,4957",141599,1,Australia
2723,wira1262,Wiradjuri,er,"-34,0742",145994,143,Australia
2775,woiw1237,Boonwurrung,er,"-37,64264501","145,5879962",410,Australia
2759,wong1246,Kungardutji,er,NA,NA,NA,Australia
2989,wori1245,Katthang,er,"-32,4806",152107,142,Australia
2787,wotj1234,Wotjobaluk,er,NA,NA,NA,Australia
2863,wulg1239,Wulguru,er,"-19,85103121","146,3453957",306,Australia
2945,wuli1242,Wuli Wuli,er,-24415,149843,181,Australia
2920,yadh1237,Yadhaykenu,er,-11314,142725,70,Australia
2730,yaga1262,Turubul,er,NA,NA,NA,Australia
2740,yala1262,Yalarnnga,er,-21731,139511,311,Australia
2738,yand1251,Yanda,er,"-21,23270508","140,5134756",305,Australia
2754,yand1253,Yandruwandha,er,"-28,4744",140583,51,Australia
2965,yank1247,Yankunytjatjara,er,"-26,4064",133577,381,Australia
2978,yann1237,Nhangu,er,"-12,0853",134877,1,Australia
2950,yany1243,Yanyuwa,er,"-15,7621",136055,40,Australia
2970,yard1234,Yardliyawarra,er,NA,NA,NA,Australia
2778,yari1243,Yari-Yari,er,NA,NA,NA,Australia
2756,yawa1258,Yawarrawarrka,er,"-26,7334",140871,61,Australia
2736,yayg1236,Yaygir,er,"-29,91558791","153,2691386",1,Australia
2891,yidi1250,Yidiny,er,"-17,1332",145876,273,Australia
2849,yind1247,Yindjibarndi,er,"-21,5379",117001,303,Australia
2772,ying1247,Yingkarta,er,"-25,4446","115,58",298,Australia
2921,yinw1236,Yinwum,er,"-12,52068956","142,7036225",55,Australia
2925,yiry1245,Yir Yoront,er,"-15,1117",141767,5,Australia
2796,yith1234,Yitha Yitha,er,"-33,89","144,22",78,Australia
2980,yort1237,Yabula-Yabula,er,"-35,9","145,01",101,Australia
2983,yuga1244,Yugambal,er,-27803,153082,66,Australia
2956,yulp1239,Yulparija,er,"-18,923519","122,370316",161,Australia
1998,amah1246,Amahuaca,saphon,"-10,2012","-72,3208",407,South America
2044,arao1248,Araona,saphon,"-12,4242","-67,7293",198,South America
2000,capa1241,Capanahua,saphon,"-6,63254","-74,3813",132,South America
2001,cash1251,Cashibo-Cacataibo,saphon,"-8,70232","-75,4206",347,South America
2003,cash1254,Kashinawa,saphon,"-9,72027","-71,1733",251,South America
854,cavi1250,Cavinena,ph,"-13,3544","-66,6277",200,South America
2002,chac1251,Chácobo,saphon,-12133,"-66,7164",205,South America
2046,esee1248,Ese Ejja,saphon,"-11,7268",-67515,168,South America
2005,kaxa1239,Kaxararí,saphon,"-9,47288","-66,3329",202,South America
2006,koru1247,Korubo,saphon,"-5,3655","-70,5094",100,South America
2007,mati1255,Matís,saphon,"-4,3553","-70,2079",86,South America
1124,mats1244,Matses,ph,"-5,73914","-72,6281",145,South America
2009,nuku1263,Nukini,saphon,-7339,"-73,5044",200,South America
2152,paca1246,Pacahuara,saphon,"-11,9968","-65,5568",208,South America
2004,pano1254,Katukína,saphon,"-7,97456","-71,56151",176,South America
2010,pano1255,Panobo,saphon,"-7,16666",-75,318,South America
2011,poya1241,Poyanáwa,saphon,"-7,46909","-73,0758",200,South America
2048,reye1240,Reyesano,saphon,"-14,8333","-67,0833",202,South America
2013,shan1283,Shanenawa,saphon,"-8,00919","-73,3264",200,South America
1999,shar1245,Arara do Acre,saphon,"-9,8626","-71,1232",343,South America
2015,ship1255,Shipibo,saphon,NA,NA,NA,South America
2049,taca1256,Tacana,saphon,"-13,39249","-68,04056",200,South America
2012,yami1256,Saynawa,saphon,"-9,8846","-71,5964",297,South America
1006,yawa1260,Shanenawa,ph,"-8,87563","-71,8199",195,South America
2018,yora1241,Yora,saphon,"-11,3704","-72,0409",549,South America
2019,yagu1244,Yagua,saphon,"-3,42913","-72,2186",100,South America
2020,yame1242,Yameo,saphon,"-4,16666","-73,6667",118,South America
1561,libe1240,Liberian English,gm,6423,"-10,5284",106,Africa
1135,nort2966,Northern Pomo,ph,"39,1084",-123209,344,North America
89,sout2982,Pomo,spa,"38,9354",-122599,467,North America
1971,puri1262,Puri,saphon,"-20,7329","-43,6069",1492,South America
2032,ayac1239,Ayacucho Quechua,saphon,"-13,84714","-74,32246",3735,South America
2022,caja1238,Cajamarca Quechua,saphon,"-7,09314","-78,3214",3158,South America
2023,chac1250,Chachapoyas Quechua,saphon,"-6,27021","-77,6615",1972,South America
1157,chim1302,Chimborazo Quichua,ph,"-1,36727","-78,8521",3966,South America
2021,coro1247,Ancash Quechua,saphon,"-8,57647","-77,9864",3752,South America
2024,cusc1236,Cuzco-Collao Quechua,saphon,"-14,0853","-71,7663",4441,South America
2034,hual1241,Huallaga Huánuco Quechua,saphon,"-9,57135",-75594,749,South America
1155,huam1248,Huallaga (Huanuco) Quechua,ph,"-9,15718","-76,3372",1149,South America
887,huay1240,Huaylas,ph,"-9,38709","-77,7768",4599,South America
2026,imba1240,Imbabura Quichua,saphon,"0,31776","-78,3729",3382,South America
2027,inga1252,Inga,saphon,"1,00313","-76,8606",1277,South America
889,jauj1238,Huanca,ph,"-11,6747","-75,2786",5036,South America
2028,jung1240,Inga,saphon,"0,88872","-76,6593",556,South America
2025,lamb1276,Ferreñafe Quechua,saphon,"-6,1715",-79468,2184,South America
2039,napo1242,Napo Quichua,saphon,"-0,072525","-76,3889",274,South America
2033,nort2976,Bolivian Quechua,saphon,"-14,4014","-68,7894",2278,South America
2035,nort2979,Huaylas-Conchucos Quechua,saphon,"-8,97356","-77,4146",3904,South America
2030,nort2980_01,North Junín Quechua,saphon,"-11,2132","-75,8128",3816,South America
2037,nort2980_02,Yaru Quechua,saphon,"-11,2132","-75,8128",3816,South America
2031,nort2980_03,North Junín Quechua,saphon,"-11,2132","-75,8128",3816,South America
1146,sala1272,Salasaca Quichua,ph,"-1,35447","-78,3953",3319,South America
2036,sanm1289,San Martin Quechua,saphon,"-6,9582","-76,6608",457,South America
2038,sant1432,Santiago del Estero Quechua,saphon,-27821,"-63,2466",136,South America
104,sout2991,Quechua,spa,"-20,9201","-66,3331",4105,South America
2041,tena1240,Tena Quechua,saphon,"-0,76271","-77,5404",923,South America
81,nezp1238,Nez Perce,spa,"46,3073",-116408,1029,North America
150,cent2050,Kanuri,spa,"11,8863","16,3918",317,Africa
693,daza1242,daza,aa,"15,7358","15,8517",275,Africa
828,teda1241,teda,aa,"18,0426","14,7717",327,Africa
1509,zagh1240,Beria,gm,"17,4842","23,4626",916,Africa
255,bell1243,BELLA COOLA,upsid,"52,3448",-126689,767,North America
863,coeu1236,Coeur d''Alene',ph,"47,2958",-116715,861,North America
1107,como1259,Comox,ph,"49,7233",-124967,60,North America
1115,halk1245,Chilliwak Halkomelem,ph,"48,0751",-122029,105,North America
449,lush1252,LUSHOOTSEED,upsid,"48,42",-122529,85,North America
996,saan1246,Saanich,ph,NA,NA,NA,North America
543,shus1248,SHUSWAP,upsid,"50,8734",-119667,697,North America
1016,spok1245,Spokan,ph,"47,9087",-118062,732,North America
68,squa1248,Squamish,spa,"49,3231",-123014,60,North America
283,uppe1439,UPPER CHEHALIS,upsid,"46,7981",-123169,46,North America
395,dera1245,DERA,upsid,"-3,52309",140947,411,Papunesia
52,nucl1632,Sentani,spa,"-2,6013",140512,249,Papunesia
1160,abau1245,Abau,ph,"-3,97222",141324,132,Papunesia
221,alam1246,ALAMBLAK,upsid,"-4,66307",143316,290,Papunesia
1177,awtu1239,Awtuw,ph,"-3,53129",141928,305,Papunesia
377,iwam1256,IWAM,upsid,"-4,27346",141817,72,Papunesia
53,kwom1262,Washkuk,spa,"-4,08721",142664,57,Papunesia
949,nami1256,Namia,ph,"-3,85538",141788,158,Papunesia
639,yess1239,YESSAN-MAYO,upsid,"-4,15721",142574,42,Papunesia
544,shas1239,SHASTA,upsid,"41,7587",-122738,973,North America
2548,acha1249,Achang,ea,"24,3479","97,7438",1649,Eurasia
1162,akha1245,Akha,ph,"21,2309",100964,1202,Eurasia
2614,amdo1237,Themchen Tibetan,ea,"34,5177",100485,4257,Eurasia
1703,anga1288,Angami,ra,"25,6841","93,8668",421,Eurasia
1704,aona1235,Ao-Naga,ra,"26,3241","94,3824",613,Eurasia
1705,apat1240,Apatani,ra,"27,1933","93,7284",797,Eurasia
2560,axiy1235,Ahi,ea,"24,6009",103713,1820,Eurasia
2346,baim1244,Baima,ea,"33,1001",103952,3309,Eurasia
2306,balt1258,Balti,ea,"34,4491","77,2859",5359,Eurasia
2236,belh1239,Belhare,uz,"26,9972","87,2783",1620,Eurasia
263,bodo1269,BODO,upsid,"26,725455","89,333235",74,Eurasia
2299,bujh1238,Bhujel,ea,"28,0084","84,5068",795,Eurasia
244,cent2004,BAI,upsid,"26,1666","99,7052",3200,Eurasia
2356,chan1310,Chantyal,ea,28684,"83,4488",3903,Eurasia
1717,chau1259,Chandangs and Byangs,ra,"29,7033","80,4832",1744,Eurasia
857,chep1245,Chepang,ph,"27,7206","84,9017",1341,Eurasia
1718,chok1243,Chokri,ra,"25,5636","94,2887",1803,Eurasia
2350,dakp1242,Northern Cuona,ea,"27,3762","91,8245",2352,Eurasia
2383,darm1243,Darma,ea,"29,8629","80,5439",1812,Eurasia
2463,dhim1246,Dhimal,ea,"26,6283","88,3798",111,Eurasia
2379,dzal1238,Southern Cuona,ea,"27,7855",91374,4332,Eurasia
2394,dzon1239,Dzongkha,ea,"27,410786","89,581604",2835,Eurasia
2451,east2347,Tamang,ea,"27,3239","87,0832",1707,Eurasia
2388,east2773,Dolakha Newar,ea,NA,NA,1847,Eurasia
2199,ersu1241,Lizu,uz,"29,2867",102213,2152,Eurasia
